uuid,id_interne,prix,unité
2beee429-09c5-41f0-9383-2a7a58c087f8,21290213_EA,4.44,ch
76538387-342a-4fe1-a3af-fd841b9efcb4,21289774_EA,6.49,ch
8787162f-5963-4e12-9ed7-8c2067a598a2,20913404_EA,3.79,ch
bc402d78-b9e5-46f1-a11e-e67c77e2deaa,20126157_EA,4.29,ch
02d537ca-8341-47b2-acd2-f0bf0d8e9c5d,21055125_EA,1.39,ch
341f833a-1ddf-4cf4-bd79-a02304bc4221,21430748_EA,5.49,ch
65eaf000-c1f3-455b-a0e8-d59d1476dbaa,20975529_EA,1.29,ch
aef34427-0e84-4dae-a1f5-29f7d0511bbf,20326180002_EA,4.39,ch
93af6544-51d5-4b7c-bd4a-b42baf319a86,20159982_EA,3.99,ch
22179915-915a-410f-bc2e-2434e74c1074,20024150_EA,11.99,ch
6fa22fdd-3eae-414f-a933-d838590df41d,20218912_EA,4.69,ch
22a05a27-1b32-495e-b744-29691a2fad50,20901520_EA,8.49,ch
2b6dc04b-ac58-475c-9833-1c84443244ff,20299648_EA,4.49,ch
5988400b-8783-4eff-b3e8-5243f7425279,20039581005_EA,6.49,ch
e502739a-7f0d-40e8-a442-130173651b7b,20309640_EA,2.99,ch
6b9e03c6-c077-4307-91c4-93d2ed1be35c,20169852_EA,2.99,ch
c6deb95c-32bf-483f-a87c-7807184d7b9d,21450851_EA,4.79,ch
4e4181c7-b048-4d0e-a025-43cc45676734,20299648_EA,4.49,ch
1551966c-162a-4688-9f46-f4a5b3400f4a,20069589_EA,4.49,ch
a95daee1-2140-4e84-aec6-dcaef7297b93,21397532_EA,6.99,ch
05fbae84-35c9-4a3d-b74e-6c1b38b09754,20925132_EA,3.99,ch
0e1279cc-cb79-4450-828a-e43b77577081,20768660_EA,5.49,ch
12ed1c95-0049-4af7-a5b3-edb844129055,20088990_EA,5.99,ch
9898eab7-8bbe-42f9-b1e8-a3797f27dbe6,20099523_EA,7.49,ch
22c95cce-1199-429d-b32b-8ec93aa834b4,20047430_EA,6.99,ch
26eceb66-8992-47a9-936d-1b63a9a977c7,20039581001_EA,,
dacd2ba7-8d69-4d84-be07-b19dba9ca263,20315613002_EA,1.99,ch
0714e4af-f5ab-4e77-8e72-220ceeb4b13c,21001575_EA,2.5,ch
a7770f90-0611-40c6-a3ad-fc7bfd052758,20131344005_EA,3.79,ch
d8fe9f5a-ae6b-47bb-b122-f0bfe1d3350b,20063296001_EA,2.29,ch
cf534ef2-f21e-410f-9dd6-96c57903d6f2,20600787_EA,1.0,ch
4b6f00be-f3e9-41e8-9a18-80bc100841e5,20034188_EA,1.69,ch
b6003586-a424-4aa4-8499-653dab2934c8,20145033_EA,2.99,ch
9a15d96f-250a-4636-b7fb-9b11965b5ed8,20126203_EA,1.49,ch
45a1287b-aff5-4a41-b818-5880905ddc9d,20032552001_EA,3.99,ch
531b23ec-16c6-46e1-9b4a-8f65311a5682,20055670_EA,2.99,ch
6a5ea04d-4e3b-4bcb-99c4-938fe552f647,20321624001_EA,4.29,ch
b953eb47-eab1-4a4e-a1da-fade252e2eba,21180125_EA,3.79,ch
e422e7c9-f7d0-4bb1-89fb-ca9408aa4b53,21393556_EA,16.99,ch
44891992-08d5-475b-9bef-4e3438df6264,21380616_EA,6.49,ch
a1bbe3d9-9c1f-4c7d-b64c-5994362deffb,20812144001_EA,3.85,ch
290c6c76-7504-4c2b-869b-04b9c4ee8519,20639926_EA,,
ea52d17a-b45e-4ed7-97f8-97a2c3e57dc2,21290366_EA,4.44,ch
176040f7-74e9-46c2-9d02-596d542d4226,20970999_EA,,
